Age,Year,Population
0,2022,672836.0
1,2022,669161.0
2,2022,694426.0
3,2022,709793.0
4,2022,719407.0
5,2022,737438.0
6,2022,760189.0
7,2022,755095.0
8,2022,760240.0
9,2022,780078.0
10,2022,801361.0
11,2022,803479.0
12,2022,794341.0
13,2022,788686.0
14,2022,796040.0
15,2022,765689.0
16,2022,752172.0
17,2022,750959.0
18,2022,756883.0
19,2022,761144.0
20,2022,766793.0
21,2022,770609.0
22,2022,786764.0
23,2022,816046.0
24,2022,823307.0
25,2022,840172.0
26,2022,827812.0
27,2022,841428.0
28,2022,866706.0
29,2022,870493.0
30,2022,899112.0
31,2022,913818.0
32,2022,911197.0
33,2022,906717.0
34,2022,918910.0
35,2022,897482.0
36,2022,891485.0
37,2022,888625.0
38,2022,860951.0
39,2022,862188.0
40,2022,858112.0
41,2022,867645.0
42,2022,869044.0
43,2022,834287.0
44,2022,775238.0
45,2022,761497.0
46,2022,779796.0
47,2022,795777.0
48,2022,806391.0
49,2022,838741.0
50,2022,872031.0
51,2022,905647.0
52,2022,883692.0
53,2022,904613.0
54,2022,902235.0
55,2022,907549.0
56,2022,903164.0
57,2022,907450.0
58,2022,894664.0
59,2022,873460.0
60,2022,851059.0
61,2022,818589.0
62,2022,785552.0
63,2022,764201.0
64,2022,741627.0
65,2022,708844.0
66,2022,680108.0
67,2022,651398.0
68,2022,648606.0
69,2022,634304.0
70,2022,611295.0
71,2022,610840.0
72,2022,614538.0
73,2022,624405.0
74,2022,651869.0
75,2022,697253.0
76,2022,524581.0
77,2022,499117.0
78,2022,488052.0
79,2022,442722.0
80,2022,386502.0
81,2022,334844.0
82,2022,335397.0
83,2022,319079.0
84,2022,295718.0
85,2022,266071.0
86,2022,237039.0
87,2022,209460.0
88,2022,178552.0
89,2022,154438.0
90,2022,595793.0
0,2021,654239.0
1,2021,680756.0
2,2021,696656.0
3,2021,707489.0
4,2021,725571.0
5,2021,748507.0
6,2021,743516.0
7,2021,749368.0
8,2021,769323.0
9,2021,791125.0
10,2021,794132.0
11,2021,785400.0
12,2021,780104.0
13,2021,787318.0
14,2021,757327.0
15,2021,742444.0
16,2021,739322.0
17,2021,738143.0
18,2021,734605.0
19,2021,744226.0
20,2021,755330.0
21,2021,768815.0
22,2021,790853.0
23,2021,798584.0
24,2021,816993.0
25,2021,805830.0
26,2021,821733.0
27,2021,849349.0
28,2021,855609.0
29,2021,885869.0
30,2021,901938.0
31,2021,901061.0
32,2021,897763.0
33,2021,910855.0
34,2021,890072.0
35,2021,884611.0
36,2021,882846.0
37,2021,855715.0
38,2021,857312.0
39,2021,854486.0
40,2021,864787.0
41,2021,866598.0
42,2021,832491.0
43,2021,774096.0
44,2021,760593.0
45,2021,779324.0
46,2021,795725.0
47,2021,806756.0
48,2021,839526.0
49,2021,873463.0
50,2021,907547.0
51,2021,885948.0
52,2021,907203.0
53,2021,905453.0
54,2021,911001.0
55,2021,906613.0
56,2021,911445.0
57,2021,899030.0
58,2021,877930.0
59,2021,855912.0
60,2021,823816.0
61,2021,790821.0
62,2021,769951.0
63,2021,747779.0
64,2021,715458.0
65,2021,687031.0
66,2021,658634.0
67,2021,656622.0
68,2021,642674.0
69,2021,620419.0
70,2021,620811.0
71,2021,625699.0
72,2021,636779.0
73,2021,666107.0
74,2021,714476.0
75,2021,539411.0
76,2021,515051.0
77,2021,505300.0
78,2021,460559.0
79,2021,404142.0
80,2021,352382.0
81,2021,355036.0
82,2021,339878.0
83,2021,317649.0
84,2021,288249.0
85,2021,259374.0
86,2021,231826.0
87,2021,200740.0
88,2021,176110.0
89,2021,155554.0
90,2021,583950.0
0,2020,677122.0
1,2020,697119.0
2,2020,710064.0
3,2020,726873.0
4,2020,748926.0
5,2020,743877.0
6,2020,749360.0
7,2020,768957.0
8,2020,790767.0
9,2020,792371.0
10,2020,783285.0
11,2020,777632.0
12,2020,784540.0
13,2020,754338.0
14,2020,739415.0
15,2020,734485.0
16,2020,730436.0
17,2020,716579.0
18,2020,714740.0
19,2020,740969.0
20,2020,761828.0
21,2020,784601.0
22,2020,791891.0
23,2020,821986.0
24,2020,804925.0
25,2020,814187.0
26,2020,840838.0
27,2020,846903.0
28,2020,877850.0
29,2020,895146.0
30,2020,892835.0
31,2020,891563.0
32,2020,904888.0
33,2020,885226.0
34,2020,883210.0
35,2020,882896.0
36,2020,856681.0
37,2020,859498.0
38,2020,856713.0
39,2020,866600.0
40,2020,868222.0
41,2020,833846.0
42,2020,775709.0
43,2020,761879.0
44,2020,780155.0
45,2020,796042.0
46,2020,807058.0
47,2020,840271.0
48,2020,874403.0
49,2020,908252.0
50,2020,886508.0
51,2020,907973.0
52,2020,906421.0
53,2020,912704.0
54,2020,908598.0
55,2020,913808.0
56,2020,901821.0
57,2020,880837.0
58,2020,859615.0
59,2020,827808.0
60,2020,794841.0
61,2020,774483.0
62,2020,753161.0
63,2020,721021.0
64,2020,692937.0
65,2020,664960.0
66,2020,663730.0
67,2020,650626.0
68,2020,628980.0
69,2020,630114.0
70,2020,636478.0
71,2020,648587.0
72,2020,679635.0
73,2020,730642.0
74,2020,553466.0
75,2020,530109.0
76,2020,521893.0
77,2020,477756.0
78,2020,420888.0
79,2020,369215.0
80,2020,373789.0
81,2020,360105.0
82,2020,339024.0
83,2020,310126.0
84,2020,281848.0
85,2020,254485.0
86,2020,222896.0
87,2020,198719.0
88,2020,178015.0
89,2020,152323.0
90,2020,574642.0
0,2019,695760.0
1,2019,713434.0
2,2019,729666.0
3,2019,750893.0
4,2019,745729.0
5,2019,750530.0
6,2019,769361.0
7,2019,791518.0
8,2019,791935.0
9,2019,782497.0
10,2019,776323.0
11,2019,783076.0
12,2019,753241.0
13,2019,737374.0
14,2019,730316.0
15,2019,725605.0
16,2019,709101.0
17,2019,698535.0
18,2019,713690.0
19,2019,748210.0
20,2019,782450.0
21,2019,795101.0
22,2019,825861.0
23,2019,826123.0
24,2019,819942.0
25,2019,838889.0
26,2019,841267.0
27,2019,871412.0
28,2019,888702.0
29,2019,885117.0
30,2019,884668.0
31,2019,899297.0
32,2019,881960.0
33,2019,881619.0
34,2019,883014.0
35,2019,857543.0
36,2019,860928.0
37,2019,858630.0
38,2019,868054.0
39,2019,869985.0
40,2019,835285.0
41,2019,777320.0
42,2019,763603.0
43,2019,781520.0
44,2019,797436.0
45,2019,808576.0
46,2019,842162.0
47,2019,876586.0
48,2019,910332.0
49,2019,888393.0
50,2019,910429.0
51,2019,909037.0
52,2019,915916.0
53,2019,912318.0
54,2019,917789.0
55,2019,906277.0
56,2019,885721.0
57,2019,864593.0
58,2019,832907.0
59,2019,799918.0
60,2019,779865.0
61,2019,758957.0
62,2019,727218.0
63,2019,699410.0
64,2019,671551.0
65,2019,671008.0
66,2019,658549.0
67,2019,637286.0
68,2019,639342.0
69,2019,646628.0
70,2019,660007.0
71,2019,692596.0
72,2019,746140.0
73,2019,567047.0
74,2019,544537.0
75,2019,537694.0
76,2019,494079.0
77,2019,437135.0
78,2019,385744.0
79,2019,392577.0
80,2019,380112.0
81,2019,360326.0
82,2019,331853.0
83,2019,304737.0
84,2019,278051.0
85,2019,246240.0
86,2019,222618.0
87,2019,202507.0
88,2019,176948.0
89,2019,152158.0
90,2019,575794.0
0,2018,713789.0
1,2018,731499.0
2,2018,751754.0
3,2018,746699.0
4,2018,751044.0
5,2018,769227.0
6,2018,791262.0
7,2018,790751.0
8,2018,780838.0
9,2018,774239.0
10,2018,780649.0
11,2018,751324.0
12,2018,735653.0
13,2018,725199.0
14,2018,719298.0
15,2018,702044.0
16,2018,689324.0
17,2018,697358.0
18,2018,724071.0
19,2018,764792.0
20,2018,783145.0
21,2018,813346.0
22,2018,816033.0
23,2018,835358.0
24,2018,844205.0
25,2018,838427.0
26,2018,863398.0
27,2018,879478.0
28,2018,874517.0
29,2018,873731.0
30,2018,888458.0
31,2018,874651.0
32,2018,877359.0
33,2018,879456.0
34,2018,855420.0
35,2018,859888.0
36,2018,858583.0
37,2018,867684.0
38,2018,869389.0
39,2018,835117.0
40,2018,777391.0
41,2018,763999.0
42,2018,780985.0
43,2018,797156.0
44,2018,808389.0
45,2018,842492.0
46,2018,877042.0
47,2018,910800.0
48,2018,888781.0
49,2018,911119.0
50,2018,910030.0
51,2018,917939.0
52,2018,914604.0
53,2018,920640.0
54,2018,909637.0
55,2018,889279.0
56,2018,868427.0
57,2018,837032.0
58,2018,804096.0
59,2018,784416.0
60,2018,763774.0
61,2018,732568.0
62,2018,705111.0
63,2018,677414.0
64,2018,677286.0
65,2018,665472.0
66,2018,644618.0
67,2018,647105.0
68,2018,655779.0
69,2018,669977.0
70,2018,703707.0
71,2018,759414.0
72,2018,578418.0
73,2018,556642.0
74,2018,550969.0
75,2018,507799.0
76,2018,450314.0
77,2018,399277.0
78,2018,407810.0
79,2018,396585.0
80,2018,377840.0
81,2018,350187.0
82,2018,323964.0
83,2018,297925.0
84,2018,266206.0
85,2018,243002.0
86,2018,223741.0
87,2018,198569.0
88,2018,173505.0
89,2018,145772.0
90,2018,559207.0
0,2017,732555.0
1,2017,753248.0
2,2017,748744.0
3,2017,752836.0
4,2017,769939.0
5,2017,792030.0
6,2017,790200.0
7,2017,780102.0
8,2017,772645.0
9,2017,779244.0
10,2017,750158.0
11,2017,734437.0
12,2017,721104.0
13,2017,713600.0
14,2017,695493.0
15,2017,682330.0
16,2017,689963.0
17,2017,710322.0
18,2017,741760.0
19,2017,766510.0
20,2017,801901.0
21,2017,804232.0
22,2017,822944.0
23,2017,856471.0
24,2017,843710.0
25,2017,860260.0
26,2017,873193.0
27,2017,865491.0
28,2017,864333.0
29,2017,878403.0
30,2017,866617.0
31,2017,873842.0
32,2017,876735.0
33,2017,852980.0
34,2017,858303.0
35,2017,857854.0
36,2017,867304.0
37,2017,868721.0
38,2017,834678.0
39,2017,777481.0
40,2017,764147.0
41,2017,780540.0
42,2017,796182.0
43,2017,807845.0
44,2017,842073.0
45,2017,877192.0
46,2017,910097.0
47,2017,888331.0
48,2017,910743.0
49,2017,909776.0
50,2017,918625.0
51,2017,915914.0
52,2017,922218.0
53,2017,911498.0
54,2017,891585.0
55,2017,871226.0
56,2017,840343.0
57,2017,807334.0
58,2017,788035.0
59,2017,767870.0
60,2017,737196.0
61,2017,710194.0
62,2017,682617.0
63,2017,683067.0
64,2017,672131.0
65,2017,651369.0
66,2017,654516.0
67,2017,664284.0
68,2017,679402.0
69,2017,714600.0
70,2017,772002.0
71,2017,589602.0
72,2017,568297.0
73,2017,563898.0
74,2017,521365.0
75,2017,463632.0
76,2017,412652.0
77,2017,422937.0
78,2017,413001.0
79,2017,395427.0
80,2017,368685.0
81,2017,343434.0
82,2017,317955.0
83,2017,286918.0
84,2017,264009.0
85,2017,246310.0
86,2017,221920.0
87,2017,196639.0
88,2017,168200.0
89,2017,142077.0
90,2017,558231.0
0,2016,752428.0
1,2016,749712.0
2,2016,753919.0
3,2016,770676.0
4,2016,792148.0
5,2016,789314.0
6,2016,778797.0
7,2016,771077.0
8,2016,777448.0
9,2016,749074.0
10,2016,733194.0
11,2016,717078.0
12,2016,708605.0
13,2016,689602.0
14,2016,676381.0
15,2016,685274.0
16,2016,703760.0
17,2016,728113.0
18,2016,745431.0
19,2016,786340.0
20,2016,794248.0
21,2016,810560.0
22,2016,845683.0
23,2016,856183.0
24,2016,865284.0
25,2016,870904.0
