Year,Age,Sex,Country,Population
2020,  0-4,Total,Scotland,263806.0
2020,  5-9,Total,Scotland,297903.0
2020, 10-14,Total,Scotland,298081.0
2020, 15-19,Total,Scotland,282120.0
2020, 20-24,Total,Scotland,341755.0
2020, 25-29,Total,Scotland,377204.0
2020, 30-34,Total,Scotland,374069.0
2020, 35-39,Total,Scotland,355666.0
2020, 40-44,Total,Scotland,324366.0
2020, 45-49,Total,Scotland,349924.0
2020, 50-54,Total,Scotland,393113.0
2020, 55-59,Total,Scotland,399344.0
2020, 60-64,Total,Scotland,352569.0
2020, 65-69,Total,Scotland,300433.0
2020, 70-74,Total,Scotland,285830.0
2020, 75-79,Total,Scotland,198210.0
2020, 80-84,Total,Scotland,143296.0
2020, 85-89,Total,Scotland,84562.0
2020, 90-94,Total,Scotland,34412.0
2020, 95-99,Total,Scotland,8364.0
2020, 100 & over,Total,Scotland,973.0
2020,All ages,Total,Scotland,5466000.0
2021,  0-4,Total,Scotland,254481.0
2021,  5-9,Total,Scotland,292924.0
2021, 10-14,Total,Scotland,303948.0
2021, 15-19,Total,Scotland,282202.0
2021, 20-24,Total,Scotland,336595.0
2021, 25-29,Total,Scotland,369188.0
2021, 30-34,Total,Scotland,381179.0
2021, 35-39,Total,Scotland,357849.0
2021, 40-44,Total,Scotland,331183.0
2021, 45-49,Total,Scotland,337240.0
2021, 50-54,Total,Scotland,388990.0
2021, 55-59,Total,Scotland,400530.0
2021, 60-64,Total,Scotland,359992.0
2021, 65-69,Total,Scotland,304891.0
2021, 70-74,Total,Scotland,289762.0
2021, 75-79,Total,Scotland,204085.0
2021, 80-84,Total,Scotland,142417.0
2021, 85-89,Total,Scotland,85583.0
2021, 90-94,Total,Scotland,35301.0
2021, 95-99,Total,Scotland,8505.0
2021, 100 & over,Total,Scotland,1032.0
2021,All ages,Total,Scotland,5467877.0
2022,  0-4,Total,Scotland,247054.0
2022,  5-9,Total,Scotland,288213.0
2022, 10-14,Total,Scotland,307297.0
2022, 15-19,Total,Scotland,288729.0
2022, 20-24,Total,Scotland,331607.0
2022, 25-29,Total,Scotland,364401.0
2022, 30-34,Total,Scotland,389019.0
2022, 35-39,Total,Scotland,361002.0
2022, 40-44,Total,Scotland,342377.0
2022, 45-49,Total,Scotland,324545.0
2022, 50-54,Total,Scotland,381806.0
2022, 55-59,Total,Scotland,400475.0
2022, 60-64,Total,Scotland,367459.0
2022, 65-69,Total,Scotland,311905.0
2022, 70-74,Total,Scotland,278419.0
2022, 75-79,Total,Scotland,222258.0
2022, 80-84,Total,Scotland,143399.0
2022, 85-89,Total,Scotland,86465.0
2022, 90-94,Total,Scotland,36272.0
2022, 95-99,Total,Scotland,8656.0
2022, 100 & over,Total,Scotland,1044.0
2022,All ages,Total,Scotland,5482402.0
2023,  0-4,Total,Scotland,240216.0
2023,  5-9,Total,Scotland,283187.0
2023, 10-14,Total,Scotland,306498.0
2023, 15-19,Total,Scotland,296206.0
2023, 20-24,Total,Scotland,326035.0
2023, 25-29,Total,Scotland,360456.0
2023, 30-34,Total,Scotland,389526.0
2023, 35-39,Total,Scotland,367277.0
2023, 40-44,Total,Scotland,351265.0
2023, 45-49,Total,Scotland,317183.0
2023, 50-54,Total,Scotland,371096.0
2023, 55-59,Total,Scotland,398180.0
2023, 60-64,Total,Scotland,375174.0
2023, 65-69,Total,Scotland,318964.0
2023, 70-74,Total,Scotland,274302.0
2023, 75-79,Total,Scotland,232552.0
2023, 80-84,Total,Scotland,146358.0
2023, 85-89,Total,Scotland,88458.0
2023, 90-94,Total,Scotland,36925.0
2023, 95-99,Total,Scotland,8856.0
2023, 100 & over,Total,Scotland,1055.0
2023,All ages,Total,Scotland,5489769.0
2024,  0-4,Total,Scotland,235198.0
2024,  5-9,Total,Scotland,277602.0
2024, 10-14,Total,Scotland,304180.0
2024, 15-19,Total,Scotland,302496.0
2024, 20-24,Total,Scotland,322842.0
2024, 25-29,Total,Scotland,357334.0
2024, 30-34,Total,Scotland,388119.0
2024, 35-39,Total,Scotland,374392.0
2024, 40-44,Total,Scotland,354825.0
2024, 45-49,Total,Scotland,318612.0
2024, 50-54,Total,Scotland,358021.0
2024, 55-59,Total,Scotland,394395.0
2024, 60-64,Total,Scotland,381224.0
2024, 65-69,Total,Scotland,326823.0
2024, 70-74,Total,Scotland,273457.0
2024, 75-79,Total,Scotland,239258.0
2024, 80-84,Total,Scotland,150261.0
2024, 85-89,Total,Scotland,89974.0
2024, 90-94,Total,Scotland,37647.0
2024, 95-99,Total,Scotland,9142.0
2024, 100 & over,Total,Scotland,1075.0
2024,All ages,Total,Scotland,5496877.0
2025,  0-4,Total,Scotland,232341.0
2025,  5-9,Total,Scotland,269998.0
2025, 10-14,Total,Scotland,303194.0
2025, 15-19,Total,Scotland,306042.0
2025, 20-24,Total,Scotland,321836.0
2025, 25-29,Total,Scotland,354977.0
2025, 30-34,Total,Scotland,384143.0
2025, 35-39,Total,Scotland,379951.0
2025, 40-44,Total,Scotland,358088.0
2025, 45-49,Total,Scotland,323893.0
2025, 50-54,Total,Scotland,346914.0
2025, 55-59,Total,Scotland,386916.0
2025, 60-64,Total,Scotland,387612.0
2025, 65-69,Total,Scotland,334567.0
2025, 70-74,Total,Scotland,274801.0
2025, 75-79,Total,Scotland,245324.0
2025, 80-84,Total,Scotland,152804.0
2025, 85-89,Total,Scotland,90971.0
2025, 90-94,Total,Scotland,38534.0
2025, 95-99,Total,Scotland,9481.0
2025, 100 & over,Total,Scotland,1097.0
2025,All ages,Total,Scotland,5503484.0
2026,  0-4,Total,Scotland,231334.0
2026,  5-9,Total,Scotland,260952.0
2026, 10-14,Total,Scotland,298449.0
2026, 15-19,Total,Scotland,312015.0
2026, 20-24,Total,Scotland,321666.0
2026, 25-29,Total,Scotland,351911.0
2026, 30-34,Total,Scotland,377454.0
2026, 35-39,Total,Scotland,387859.0
2026, 40-44,Total,Scotland,360711.0
2026, 45-49,Total,Scotland,330988.0
2026, 50-54,Total,Scotland,334641.0
2026, 55-59,Total,Scotland,383146.0
2026, 60-64,Total,Scotland,389132.0
2026, 65-69,Total,Scotland,342019.0
2026, 70-74,Total,Scotland,279361.0
