Year,Age,Sex,Country,Population
2020,  0-4,Total,United Kingdom,3782330.0
2020,  5-9,Total,United Kingdom,4147412.9999999995
2020, 10-14,Total,United Kingdom,4045114.0
2020, 15-19,Total,United Kingdom,3683680.0
2020, 20-24,Total,United Kingdom,4133158.0000000005
2020, 25-29,Total,United Kingdom,4476630.0
2020, 30-34,Total,United Kingdom,4521975.0
2020, 35-39,Total,United Kingdom,4404100.0
2020, 40-44,Total,United Kingdom,4091543.0
2020, 45-49,Total,United Kingdom,4303967.0
2020, 50-54,Total,United Kingdom,4616017.0
2020, 55-59,Total,United Kingdom,4510851.0
2020, 60-64,Total,United Kingdom,3855818.0
2020, 65-69,Total,United Kingdom,3355381.0
2020, 70-74,Total,United Kingdom,3363906.0
2020, 75-79,Total,United Kingdom,2403759.0
2020, 80-84,Total,United Kingdom,1726223.0
2020, 85-89,Total,United Kingdom,1049866.0
2020, 90-94,Total,United Kingdom,470674.0
2020, 95-99,Total,United Kingdom,123708.0
2020, 100 & over,Total,United Kingdom,15121.0
2020,All ages,Total,United Kingdom,67081234.0
2021,  0-4,Total,United Kingdom,3668204.0
2021,  5-9,Total,United Kingdom,4130435.0000000005
2021, 10-14,Total,United Kingdom,4122551.0000000005
2021, 15-19,Total,United Kingdom,3746179.0
2021, 20-24,Total,United Kingdom,4071970.0
2021, 25-29,Total,United Kingdom,4409227.0
2021, 30-34,Total,United Kingdom,4552210.0
2021, 35-39,Total,United Kingdom,4410866.0
2021, 40-44,Total,United Kingdom,4176203.9999999995
2021, 45-49,Total,United Kingdom,4170218.0
2021, 50-54,Total,United Kingdom,4598996.0
2021, 55-59,Total,United Kingdom,4573602.0
2021, 60-64,Total,United Kingdom,3964914.0
2021, 65-69,Total,United Kingdom,3384274.0
2021, 70-74,Total,United Kingdom,3379444.0
2021, 75-79,Total,United Kingdom,2515864.0
2021, 80-84,Total,United Kingdom,1717141.0
2021, 85-89,Total,United Kingdom,1066014.0
2021, 90-94,Total,United Kingdom,480191.0
2021, 95-99,Total,United Kingdom,124991.0
2021, 100 & over,Total,United Kingdom,16187.999999999998
2021,All ages,Total,United Kingdom,67279683.0
2022,  0-4,Total,United Kingdom,3586572.0
2022,  5-9,Total,United Kingdom,4094991.0
2022, 10-14,Total,United Kingdom,4211899.0
2022, 15-19,Total,United Kingdom,3878069.0
2022, 20-24,Total,United Kingdom,4063918.0
2022, 25-29,Total,United Kingdom,4418987.0
2022, 30-34,Total,United Kingdom,4605719.0
