Year,Age,Sex,Country,Population
2020,  0-4,Total,Wales,161341.0
2020,  5-9,Total,Wales,182178.0
2020, 10-14,Total,Wales,184437.0
2020, 15-19,Total,Wales,173821.0
2020, 20-24,Total,Wales,206557.0
2020, 25-29,Total,Wales,208114.0
2020, 30-34,Total,Wales,196672.0
2020, 35-39,Total,Wales,185873.0
2020, 40-44,Total,Wales,172930.0
2020, 45-49,Total,Wales,192465.0
2020, 50-54,Total,Wales,216970.0
2020, 55-59,Total,Wales,222222.0
2020, 60-64,Total,Wales,197416.0
2020, 65-69,Total,Wales,179955.0
2020, 70-74,Total,Wales,181886.0
2020, 75-79,Total,Wales,131023.0
2020, 80-84,Total,Wales,90566.0
2020, 85-89,Total,Wales,54400.0
2020, 90-94,Total,Wales,23626.0
2020, 95-99,Total,Wales,6347.0
2020, 100 & over,Total,Wales,787.0
2020,All ages,Total,Wales,3169586.0
2021,  0-4,Total,Wales,155221.0
2021,  5-9,Total,Wales,179826.0
2021, 10-14,Total,Wales,187461.0
2021, 15-19,Total,Wales,173886.0
2021, 20-24,Total,Wales,206039.0
2021, 25-29,Total,Wales,205566.0
2021, 30-34,Total,Wales,201841.0
2021, 35-39,Total,Wales,186434.0
2021, 40-44,Total,Wales,177755.0
2021, 45-49,Total,Wales,183261.0
2021, 50-54,Total,Wales,216207.0
2021, 55-59,Total,Wales,224235.0
2021, 60-64,Total,Wales,202697.0
2021, 65-69,Total,Wales,180140.0
2021, 70-74,Total,Wales,183247.0
2021, 75-79,Total,Wales,135374.0
2021, 80-84,Total,Wales,90969.0
2021, 85-89,Total,Wales,55265.0
2021, 90-94,Total,Wales,23967.0
2021, 95-99,Total,Wales,6359.0
2021, 100 & over,Total,Wales,835.0
2021,All ages,Total,Wales,3176585.0
2022,  0-4,Total,Wales,151218.0
2022,  5-9,Total,Wales,177424.0
2022, 10-14,Total,Wales,189789.0
2022, 15-19,Total,Wales,178420.0
2022, 20-24,Total,Wales,204861.0
2022, 25-29,Total,Wales,205972.0
2022, 30-34,Total,Wales,207534.0
2022, 35-39,Total,Wales,189384.0
2022, 40-44,Total,Wales,181884.0
2022, 45-49,Total,Wales,176301.0
2022, 50-54,Total,Wales,213533.0
2022, 55-59,Total,Wales,224999.0
2022, 60-64,Total,Wales,208182.0
2022, 65-69,Total,Wales,182378.0
2022, 70-74,Total,Wales,175500.0
2022, 75-79,Total,Wales,146519.0
2022, 80-84,Total,Wales,92923.0
2022, 85-89,Total,Wales,56091.0
2022, 90-94,Total,Wales,24227.0
2022, 95-99,Total,Wales,6387.0
